text,type_text,away_score,home_score,period_number,scoring_play,score_value,coordinate_x,coordinate_y
LeBron James makes 26-foot running pullup jump shot,Running Pullup Jump Shot,0,7,1,TRUE,3,17,24
LeBron James misses 28-foot three point pullup jump shot,Pullup Jump Shot,3,7,1,FALSE,0,23,28
LeBron James makes 23-foot three point jumper (Anthony Davis assists),Jump Shot,12,16,1,TRUE,3,48,3
LeBron James misses two point shot,Running Layup Shot,12,16,1,FALSE,0,26,3
LeBron James misses running pullup jump shot,Running Pullup Jump Shot,34,38,2,FALSE,0,15,26
LeBron James misses 26-foot three point jumper,Jump Shot,36,38,2,FALSE,0,49,10
LeBron James makes two point shot (Lonnie Walker IV assists),Layup Running Reverse,39,42,2,TRUE,2,25,2
LeBron James misses 27-foot three point jumper,Jump Shot,47,46,2,FALSE,0,32,26
LeBron James makes alley oop dunk shot (Anthony Davis assists),Alley Oop Dunk Shot,50,50,2,TRUE,2,23,1
LeBron James misses two point shot,Fade Away Jump Shot,54,57,2,FALSE,0,19,0
LeBron James misses 25-foot three point jumper,Jump Shot,56,62,3,FALSE,0,37,23
LeBron James misses 28-foot three point jumper,Jump Shot,58,62,3,FALSE,0,21,28
LeBron James makes 29-foot three pointer (Dennis Schroder assists),Pullup Jump Shot,61,67,3,TRUE,3,12,25
Andrew Nembhard blocks LeBron James 's 6-foot two point shot,Turnaround Jump Shot,84,101,4,FALSE,0,23,6
LeBron James misses 16-foot two point shot,Fade Away Jump Shot,87,101,4,FALSE,0,39,8
LeBron James misses 6-foot two point shot,Fade Away Jump Shot,91,101,4,FALSE,0,19,2
LeBron James misses pullup jump shot,Pullup Jump Shot,96,103,4,FALSE,0,37,0
LeBron James makes two point shot,Running Finger Roll Layup,96,107,4,TRUE,2,26,1
LeBron James misses 28-foot three point jumper,Jump Shot,96,107,4,FALSE,0,26,28
LeBron James misses driving layup,Driving Layup Shot,106,110,4,FALSE,0,24,4
LeBron James makes 4-foot driving floating jump shot,Driving Floating Jump Shot,113,115,4,TRUE,2,28,3
LeBron James makes two point shot,Running Finger Roll Layup,3,2,1,TRUE,2,25,3
LeBron James makes 30-foot three point jumper (Thomas Bryant assists),Jump Shot,24,29,2,TRUE,3,35,28
LeBron James makes 17-foot pullup jump shot,Pullup Jump Shot,27,33,2,TRUE,2,8,2
LeBron James makes 10-foot two point shot,Fade Away Jump Shot,27,35,2,TRUE,2,28,9
LeBron James makes three point jumper (Dennis Schroder assists),Jump Shot,39,44,2,TRUE,3,25,28
LeBron James makes 27-foot three point jumper (Austin Reaves assists),Jump Shot,55,61,2,TRUE,3,14,24
LeBron James makes dunk (Thomas Bryant assists),Cutting Dunk Shot,57,63,2,TRUE,2,25,2
LeBron James misses 29-foot three point jumper,Jump Shot,60,63,2,FALSE,0,11,25
LeBron James misses 10-foot two point shot,Turnaround Fade Away Jump Shot,66,73,3,FALSE,0,18,7
LeBron James misses tip shot,Tip Shot,68,78,3,FALSE,0,25,0
LeBron James makes tip shot,Tip Shot,68,80,3,TRUE,2,25,0
LeBron James makes 27-foot three pointer,Pullup Jump Shot,68,83,3,TRUE,3,40,23
LeBron James makes 27-foot three point jumper (Austin Reaves assists),Jump Shot,86,102,4,TRUE,3,24,27
LeBron James misses 26-foot three point jumper,Jump Shot,90,102,4,FALSE,0,6,18
LeBron James makes driving layup,Driving Layup Shot,94,107,4,TRUE,2,27,1
LeBron James makes 25-foot three point jumper (Anthony Davis assists),Jump Shot,98,117,4,TRUE,3,4,14
LeBron James misses 9-foot two point shot,Fade Away Bank Jump Shot,101,118,4,FALSE,0,33,5
LeBron James misses 7-foot two point shot,Turnaround Jump Shot,107,120,4,FALSE,0,26,7
LeBron James misses 20-foot pullup jump shot,Pullup Jump Shot,1,2,1,FALSE,0,32,19
LeBron James misses driving layup,Driving Layup Shot,17,17,1,FALSE,0,26,3
LeBron James makes 3-foot layup (Wenyen Gabriel assists),Cutting Layup Shot,35,31,2,TRUE,2,24,2
LeBron James makes layup (Russell Westbrook assists),Cutting Layup Shot,39,34,2,TRUE,2,25,2
LeBron James misses 20-foot jumper,Jump Shot,39,34,2,FALSE,0,37,17
LeBron James makes 3-foot layup (Russell Westbrook assists),Cutting Layup Shot,41,34,2,TRUE,2,26,3
LeBron James misses two point shot,Turnaround Fade Away Jump Shot,41,37,2,FALSE,0,12,0
LeBron James makes 3-foot two point shot,Driving Finger Roll Layup,51,41,2,TRUE,2,27,3
LeBron James makes 16-foot pullup jump shot,Pullup Jump Shot,59,46,2,TRUE,2,15,13
LeBron James misses two point shot,Running Layup Shot,62,53,2,FALSE,0,25,3
